unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11847960,JC456980,2019-09-23 12:00:00 UTC,128XX S ESCANABA AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,"SCHOOL, PUBLIC, GROUNDS",false,false,433,4,10,55,26,1197419.0,1820493.0,2019,2019-10-05 16:04:25 UTC,41.662283069,-87.553198089,"(41.662283069, -87.553198089)"
11813734,JC415806,2019-09-01 00:45:00 UTC,055XX S KOSTNER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,813,8,13,62,26,1147972.0,1867561.0,2019,2019-09-08 16:07:45 UTC,41.792532291,-87.732947055,"(41.792532291, -87.732947055)"
11823499,JC427374,2019-08-28 12:00:00 UTC,023XX W 91ST ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2221,22,19,72,11,1162484.0,1844246.0,2019,2019-09-13 16:06:54 UTC,41.728262126,-87.680382104,"(41.728262126, -87.680382104)"
11792237,JC388008,2019-08-11 12:13:00 UTC,092XX S JEFFERY AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,true,413,4,8,48,04A,1191123.0,1844163.0,2019,2019-08-18 16:11:00 UTC,41.727390329,-87.575475486,"(41.727390329, -87.575475486)"
11761492,JC353253,2019-07-17 19:40:00 UTC,054XX S WENTWORTH AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESTAURANT,true,false,225,2,3,37,18,1175896.0,1868633.0,2019,2019-07-24 16:23:13 UTC,41.794893197,-87.630521478,"(41.794893197, -87.630521478)"
11729730,JC314837,2019-06-20 16:40:00 UTC,051XX S WENTWORTH AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,GOVERNMENT BUILDING/PROPERTY,true,false,225,2,3,37,24,1175826.0,1871120.0,2019,2019-06-30 15:56:27 UTC,41.80171934,-87.630703621,"(41.80171934, -87.630703621)"
11805221,JC405540,2019-06-17 00:01:00 UTC,032XX W CATALPA AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,false,false,1712,17,39,13,11,1153863.0,1936375.0,2019,2019-08-28 16:08:10 UTC,41.981249868,-87.709510959,"(41.981249868, -87.709510959)"
11723503,JC307418,2019-06-14 19:00:00 UTC,040XX E 106TH ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,false,false,432,4,10,52,10,1204911.0,1835285.0,2019,2019-06-30 15:56:27 UTC,41.702684248,-87.525274478,"(41.702684248, -87.525274478)"
11717213,JC299728,2019-06-10 02:17:00 UTC,046XX W 63RD ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,true,false,813,8,13,64,14,1146363.0,1862424.0,2019,2019-06-30 15:56:27 UTC,41.778466209,-87.738977336,"(41.778466209, -87.738977336)"
11714439,JC296283,2019-06-07 14:58:00 UTC,085XX S EUCLID AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,412,4,8,45,18,1190670.0,1848788.0,2019,2019-06-30 15:56:27 UTC,41.740092708,-87.576985983,"(41.740092708, -87.576985983)"
