unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,longitude,location,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20165002898," Austin, TX ",,2016-03-14 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-01-19 00:00:00 UTC,,,2016,
20165004843," Austin, TX ",,2016-03-31 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-01-25 00:00:00 UTC,,,2016,
2016250988," Austin, TX ",,2016-09-16 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-01-25 00:00:00 UTC,,,2016,
20165003839," Austin, TX ",,2016-02-09 00:00:00 UTC,Not cleared,,"AGG RAPE OF A CHILD           ",UK,,,,,Rape,2016-01-27 00:00:00 UTC,,,2016,
2016321746," Austin, TX ",,2016-03-22 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-02-01 00:00:00 UTC,,,2016,
20165010113," Austin, TX ",,2016-04-12 00:00:00 UTC,Not cleared,,"SEXUAL ASSAULT W/ OBJECT      ",UK,,,,,Rape,2016-02-25 00:00:00 UTC,,,2016,
20165009799," Austin, TX ",,2016-03-24 00:00:00 UTC,Cleared by Exception,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-03-07 00:00:00 UTC,,,2016,
2016701037," Austin, TX ",,2016-05-04 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-03-10 00:00:00 UTC,,,2016,
2016771324," Austin, TX ",,2016-04-20 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-03-17 00:00:00 UTC,,,2016,
20165012445," Austin, TX ",,2016-05-20 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-03-24 00:00:00 UTC,,,2016,
2016891605," Austin, TX ",,2016-05-04 00:00:00 UTC,Not cleared,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-03-29 00:00:00 UTC,,,2016,
20165014493," Austin, TX ",,2017-01-19 00:00:00 UTC,Cleared by Exception,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-04-07 00:00:00 UTC,,,2016,
20161020086," Austin, TX ",,2016-09-20 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-04-11 00:00:00 UTC,,,2016,
20165016655," Austin, TX ",,2016-11-11 00:00:00 UTC,Not cleared,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-04-21 00:00:00 UTC,,,2016,
20161160159," Austin, TX ",,2016-11-10 00:00:00 UTC,Cleared by Exception,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-04-25 00:00:00 UTC,,,2016,
20165022339," Austin, TX ",,,,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-05-31 00:00:00 UTC,,,2016,
20161521900," Austin, TX ",,2016-07-15 00:00:00 UTC,Not cleared,,"RAPE                          ",I,,,,,Rape,2016-06-01 00:00:00 UTC,,,2016,
20161730800," Austin, TX ",,2016-11-11 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-06-21 00:00:00 UTC,,,2016,
20161871629," Austin, TX ",,2016-07-19 00:00:00 UTC,Cleared by Exception,,"RAPE                          ",UK,,,,,Rape,2016-07-05 00:00:00 UTC,,,2016,
20161970571," Austin, TX ",,2016-10-24 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",H,,,,,Rape,2016-07-15 00:00:00 UTC,,,2016,
20162050194," Austin, TX ",,2016-09-15 00:00:00 UTC,Cleared by Arrest,,"AGG RAPE                      ",UK,,,,,Rape,2016-07-23 00:00:00 UTC,,,2016,
20165030982," Austin, TX ",,2016-08-31 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",A,,,,,Rape,2016-07-27 00:00:00 UTC,,,2016,
20162250895," Austin, TX ",,2016-08-12 00:00:00 UTC,Cleared by Exception,,"RAPE OF A CHILD               ",A,,,,,Rape,2016-08-12 00:00:00 UTC,,,2016,
20165033609," Austin, TX ",,2016-11-07 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-08-15 00:00:00 UTC,,,2016,
20165033839," Austin, TX ",,2016-10-04 00:00:00 UTC,Cleared by Exception,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-08-17 00:00:00 UTC,,,2016,
20165035043," Austin, TX ",,2017-01-19 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-08-25 00:00:00 UTC,,,2016,
20165036860," Austin, TX ",,2017-02-10 00:00:00 UTC,Not cleared,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-09-06 00:00:00 UTC,,,2016,
20165036931," Austin, TX ",,,,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-09-07 00:00:00 UTC,,,2016,
20165038342," Austin, TX ",,2017-01-20 00:00:00 UTC,Not cleared,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-09-16 00:00:00 UTC,,,2016,
20162641262," Austin, TX ",,2016-12-05 00:00:00 UTC,Cleared by Exception,,SEXUAL ASSAULT OF CHILD/OBJECT,88,,,,,Rape,2016-09-20 00:00:00 UTC,,,2016,
20162740182," Austin, TX ",,2016-10-11 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-09-30 00:00:00 UTC,,,2016,
20165046758," Austin, TX ",,,,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-10-26 00:00:00 UTC,,,2016,
20165050434," Austin, TX ",,,,,"SEXUAL ASSAULT W/ OBJECT      ",UK,,,,,Rape,2016-11-04 00:00:00 UTC,,,2016,
20163101161," Austin, TX ",,2016-12-22 00:00:00 UTC,Cleared by Exception,,"RAPE                          ",UK,,,,,Rape,2016-11-05 00:00:00 UTC,,,2016,
20163200413," Austin, TX ",,2017-01-02 00:00:00 UTC,Not cleared,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-11-15 00:00:00 UTC,,,2016,
20163271382," Austin, TX ",,2016-12-23 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2016-11-22 00:00:00 UTC,,,2016,
