sid,season,number,basin,subbasin,name,iso_time,nature,latitude,longitude,wmo_wind,wmo_pressure,wmo_agency,track_type,dist2land,landfall,iflag,usa_agency,usa_latitude,usa_longitude,usa_record,usa_status,usa_wind,usa_pressure,usa_sshs,usa_r34_ne,usa_r34_se,usa_r34_sw,usa_r34_nw,usa_r50_ne,usa_r50_se,usa_r50_sw,usa_r50_nw,usa_r64_ne,usa_r64_se,usa_r64_sw,usa_r64_nw,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_latitude,tokyo_longitude,tokyo_grade,tokyo_wind,tokyo_pressure,tokyo_r50_dir,tokyo_r50_longitude,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_latitude,cma_longitude,cma_cat,cma_wind,cma_pressure,hko_latitude,hko_longitude,hko_cat,hko_wind,hko_pressure,newdelhi_latitude,newdelhi_longitude,newdelhi_grade,newdelhi_wind,newdelhi_pressure,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_latitude,reunion_longitude,reunion_type,reunion_wind,reunion_pressure,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34_ne,reunion_r34_se,reunion_r34_sw,reunion_r34_nw,reunion_r50_ne,reunion_r50_se,reunion_r50_sw,reunion_r50_nw,reunion_r64_ne,reunion_r64_se,reunion_r64_sw,reunion_r64_nw,bom_latitude,bom_longitude,bom_type,bom_wind,bom_pressure,bom_tnum,bom_ci,bom_rmw,bom_r34_ne,bom_r34_se,bom_r34_sw,bom_r34_nw,bom_r50_ne,bom_r50_se,bom_r50_sw,bom_r50_nw,bom_r64_ne,bom_r64_se,bom_r64_sw,bom_r64_nw,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pressure_method,wellington_latitude,wellington_longitude,wellington_wind,wellington_pressure,nadi_latitude,nadi_longitude,nadi_cat,nadi_wind,nadi_pressure,ds824_latitude,ds824_longitude,ds824_stage,ds824_wind,ds824_pressure,td9636_latitude,td9636_longitude,td9636_stage,td9636_wind,td9636_pressure,td9635_latitude,td9635_longitude,td9635_wind,td9635_pressure,td9635_roci,neumann_latitude,neumann_longitude,neumann_class,neumann_wind,neumann_pressure,mlc_latitude,mlc_longitude,mlc_class,mlc_wind,mlc_pressure,usa_atcf_id
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-08 06:00:00 UTC,TS,14.4333,132.0,,998,tokyo,main,745,704,IOOO_____III__," ",,," "," ",35,,0,,,,,,,,,,,,,,,," ",14.5,132.0,9,,998,0,,,0,,,0,13.3,132.1,2,38,994,15.5000,131.9,TD,30,994,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,28,,,,1,28,997,,,28.0,997,130,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-08 12:00:00 UTC,TS,14.3273,131.136,,996,tokyo,main,650,620,IOOO_____III__," ",,," "," ",38,,0,,,,,,,,,,,,,,,," ",14.7,131.5,9,,996,0,,,0,,,0,13.3,130.8,2,38,994,15.2000,131.1,TD,25,996,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,31,,,,1,31,996,,,31.0,996,140,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-08 18:00:00 UTC,TS,14.1889,130.356,,996,tokyo,main,576,512,IOOO_____III__," ",,," "," ",40,,0,,,,,,,,,,,,,,,," ",14.8,131.0,9,,996,0,,,0,,,0,13.4,129.7,2,38,994,14.9000,130.4,TD,25,996,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,35,,,,1,35,995,,,35.0,995,150,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-08 00:00:00 UTC,TS,14.95,132.875,,998,tokyo,main,859,803,IOOO_____OOO__," ",,," "," ",32,,-1,,,,,,,,,,,,,,,," ",14.4,133.2,9,,998,0,,,0,,,0,13.8,133.3,1,29,1000,15.8000,133.0,TD,30,992,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,132.0,TC,25,,15.8,132.0,1,25,999,15.8,132.0,25.0,999,120,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 06:00:00 UTC,TS,14.2429,127.693,,990,tokyo,main,327,303,IOO______III__," ",,," "," ",46,,0,,,,,,,,,,,,,,,," ",15.4,128.5,9,,990,0,,,0,,,0,13.6,127.4,3,58,990," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,41,,,,1,41,992,,,41.0,992,170,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 18:00:00 UTC,TS,17.45,120.81,,985,tokyo,main,0,0,IOO______III__," ",,," "," ",62,,0,,,,,,,,,,,,,,,," ",17.0,120.0,9,,985,0,,,0,,,0,17.5,121.7,1,29,992," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,61,,,,1,61,985,,,61.0,985,230,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 12:00:00 UTC,TS,17.2632,122.4,,985,tokyo,main,0,0,IOO______III__," ",,," "," ",59,,0,,,,,,,,,,,,,,,," ",17.0,122.0,9,,985,0,,,0,,,0,17.0,122.8,2,38,988," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,58,,,,1,58,986,,,58.0,986,220,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 00:00:00 UTC,TS,16.1571,124.786,,990,tokyo,main,252,196,IOO______III__," ",,," "," ",54,,0,,,,,,,,,,,,,,,," ",16.4,124.8,9,,990,0,,,0,,,0,16.1,124.9,3,48,988," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,51,,,,1,51,989,,,51.0,989,200,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 12:00:00 UTC,TS,14.6818,126.709,,990,tokyo,main,263,229,IOO______III__," ",,," "," ",48,,0,,,,,,,,,,,,,,,," ",15.7,127.3,9,,990,0,,,0,,,0,14.4,126.6,3,58,990," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,45,,,,1,45,991,,,45.0,991,180,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 00:00:00 UTC,TS,14.1,129.078,,994,tokyo,main,444,394,IOO______III__," ",,," "," ",43,,0,,,,,,,,,,,,,,,," ",15.0,130.0,9,,994,0,,,0,,,0,13.4,128.4,3,58,992," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,38,,,,1,38,994,,,38.0,994,160,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 18:00:00 UTC,TS,15.3594,125.645,,990,tokyo,main,210,203,IOO______III__," ",,," "," ",51,,0,,,,,,,,,,,,,,,," ",16.0,126.0,9,,990,0,,,0,,,0,15.2,125.7,3,58,990," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,48,,,,1,48,990,,,48.0,990,190,,," ",,,,," ",,,WP311971
