tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
110320,Property Tree,::,9 Imperial Aly,,Back Yard : Yard,Landscaping,Private,,,,,,6005040.9,2119421.8,37.7998128500526,-122.426677597274,POINT (-122.426677597274 37.7998128500526)
259652,DPW Maintained,::,99x Cora St,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,,,,,
259653,DPW Maintained,::,99x Cora St,2,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,,,,,
259638,DPW Maintained,::,99x Arleta Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,,,,,
259635,DPW Maintained,::,98x Arleta Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,,,,,
259636,DPW Maintained,::,98x Arleta Ave,2,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,,,,,
259637,DPW Maintained,::,95 Arleta Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,6010745.67067,2087724.79538,37.7131008096728,-122.404704194453,POINT (-122.404704194453 37.7131008096728)
41854,Permitted Site,::,942 Kirkham St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,2000-06-20 00:00:00 UTC,,,Permit Number 42241,5991990.35837611,2105257.12694546,37.7601740626082,-122.470804559297,POINT (-122.470804559297 37.7601740626082)
259616,DPW Maintained,::,941 Visitacion Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,6009687.32277,2087163.71083,37.7115009759818,-122.408322666595,POINT (-122.408322666595 37.7115009759818)
41853,Permitted Site,::,936 Kirkham St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,2000-06-20 00:00:00 UTC,,,Permit Number 42240,5992008.2421953,2105257.75589238,37.7601768237518,-122.470742754033,POINT (-122.470742754033 37.7601768237518)
259615,DPW Maintained,::,935 Visitacion Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,6009702.19768,2087158.08788,37.7114863694621,-122.408270858441,POINT (-122.408270858441 37.7114863694621)
52107,Permitted Site,::,935 Rockdale Dr,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,2005-10-26 00:00:00 UTC,,,Permit Number 48299,5996504.69473395,2098122.17494067,37.7408432986479,-122.454676219762,POINT (-122.454676219762 37.7408432986479)
259614,DPW Maintained,::,928 Visitacion Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,6009731.2164,2087189.88087,37.7115752914499,-122.408172802554,POINT (-122.408172802554 37.7115752914499)
36929,Permitted Site,::,901 Elizabeth St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-05-27 00:00:00 UTC,,,Permit Number 39571,6000612.32634681,2101962.60570598,37.7516229539892,-122.440749012812,POINT (-122.440749012812 37.7516229539892)
117313,DPW Maintained,::,883 47th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,5981355.6,2109736.3,37.7718518197324,-122.507916915131,POINT (-122.507916915131 37.7718518197324)
34454,DPW Maintained,::,881 Greenwich St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1997-07-15 00:00:00 UTC,14,,Permit Number 38198,6008682.26912,2120023.63237,37.8016705265302,-122.414119665415,POINT (-122.414119665415 37.8016705265302)
259631,DPW Maintained,::,86 Arleta Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,6010819.87099,2087731.57587,37.7131235744523,-122.404448208813,POINT (-122.404448208813 37.7131235744523)
115762,Undocumented,::,84X Cordova St,1,Sidewalk: Curb side : Cutout,Tree,Private,,,3,,on Athens Street frontage,6001679.7,2087642.4,37.7123636875758,-122.436033295685,POINT (-122.436033295685 37.7123636875758)
115869,Undocumented,::,84X Cordova St,2,Sidewalk: Curb side : Cutout,Tree,Private,,,,,on Athens St frontage,6001679.7,2087642.4,37.7123636875758,-122.436033295685,POINT (-122.436033295685 37.7123636875758)
115870,Undocumented,::,84X Cordova St,4,Sidewalk: Curb side : Cutout,Tree,Private,,,,,on Athens St. Frontage,6001679.7,2087642.4,37.7123636875758,-122.436033295685,POINT (-122.436033295685 37.7123636875758)
115298,Permitted Site,::,84 Forest Side Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,5992506.3,2098571.2,37.7418460572185,-122.468533715231,POINT (-122.468533715231 37.7418460572185)
