latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,acquisition_timestamp
-12.70319,142.14148,335.9,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,310.9,6.2,D,2019-10-01 03:48:00 UTC
-12.70382,142.13689,341.4,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,316.1,6.2,D,2019-10-01 03:48:00 UTC
-12.69381,142.04114,336.7,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,308.2,4.8,D,2019-10-01 03:48:00 UTC
-12.68502,142.07776,341.5,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,314.1,6.9,D,2019-10-01 03:48:00 UTC
-12.68877,142.04994,336.6,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,310.7,4.5,D,2019-10-01 03:48:00 UTC
-12.67685,142.08142,337.9,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,309.2,5.3,D,2019-10-01 03:48:00 UTC
-12.68059,142.0536,339.8,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,311.8,7.3,D,2019-10-01 03:48:00 UTC
-12.67619,142.05772,346.1,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,313.3,18.0,D,2019-10-01 03:48:00 UTC
-12.67682,142.0531,348.1,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,313.6,17.4,D,2019-10-01 03:48:00 UTC
-12.67744,142.04846,344.7,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,315.3,17.4,D,2019-10-01 03:48:00 UTC
-12.67807,142.04376,342.6,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,312.0,25.8,D,2019-10-01 03:48:00 UTC
-12.67242,142.05721,355.3,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,313.3,18.0,D,2019-10-01 03:48:00 UTC
-12.67304,142.05257,356.2,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,317.1,17.4,D,2019-10-01 03:48:00 UTC
-12.67366,142.04791,354.3,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,312.4,17.4,D,2019-10-01 03:48:00 UTC
-12.67491,142.03859,338.0,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,312.2,25.8,D,2019-10-01 03:48:00 UTC
-12.66989,142.04738,348.4,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,312.1,17.7,D,2019-10-01 03:48:00 UTC
-12.67575,142.03548,304.6,0.5,0.41,2019-10-01,03:48:00,N,low,1.0NRT,309.9,26.3,D,2019-10-01 03:48:00 UTC
-12.58135,132.09421,332.1,0.5,0.66,2019-10-01,05:30:00,N,low,1.0NRT,302.4,3.7,D,2019-10-01 05:30:00 UTC
-12.58702,132.06604,330.7,0.5,0.66,2019-10-01,05:30:00,N,low,1.0NRT,303.7,3.5,D,2019-10-01 05:30:00 UTC
-9.94056,123.91855,330.9,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,303.6,3.2,D,2019-10-01 05:30:00 UTC
-8.46708,123.50456,330.4,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,300.5,2.8,D,2019-10-01 05:30:00 UTC
-8.83738,115.91673,339.1,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,300.7,18.3,D,2019-10-01 05:30:00 UTC
-8.75854,115.85151,334.5,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,299.7,8.4,D,2019-10-01 05:30:00 UTC
-4.11734,114.79584,333.5,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,294.3,8.8,D,2019-10-01 05:30:00 UTC
-4.07637,114.80996,331.9,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,295.0,9.9,D,2019-10-01 05:30:00 UTC
-3.4897,114.66357,336.7,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,296.5,10.2,D,2019-10-01 05:30:00 UTC
-3.49037,114.65904,334.9,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,293.7,8.4,D,2019-10-01 05:30:00 UTC
-3.39035,114.73346,340.9,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,296.8,15.4,D,2019-10-01 05:30:00 UTC
-2.31701,114.49471,328.5,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,294.9,6.4,D,2019-10-01 05:30:00 UTC
-2.08388,114.45929,336.1,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,292.1,7.2,D,2019-10-01 05:30:00 UTC
-2.08454,114.4548,331.1,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,292.0,7.7,D,2019-10-01 05:30:00 UTC
-1.96538,114.45687,333.9,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,293.8,20.4,D,2019-10-01 05:30:00 UTC
-1.96164,114.45631,352.3,0.5,0.41,2019-10-01,05:30:00,N,low,1.0NRT,296.6,20.4,D,2019-10-01 05:30:00 UTC
25.84352,115.88096,331.7,0.5,0.41,2019-10-01,05:36:00,N,low,1.0NRT,304.8,3.1,D,2019-10-01 05:36:00 UTC
32.01587,114.43613,334.8,0.5,0.41,2019-10-01,05:42:00,N,low,1.0NRT,307.4,9.7,D,2019-10-01 05:42:00 UTC
24.03333,49.08643,338.7,0.5,0.66,2019-10-01,09:00:00,N,low,1.0NRT,309.3,5.6,D,2019-10-01 09:00:00 UTC
-16.77283,38.48618,331.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,306.3,20.4,D,2019-10-01 10:30:00 UTC
-16.74632,38.43199,333.9,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,305.5,3.6,D,2019-10-01 10:30:00 UTC
-16.73319,38.42551,334.0,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,306.1,3.7,D,2019-10-01 10:30:00 UTC
-16.72805,38.42971,333.4,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,306.7,3.7,D,2019-10-01 10:30:00 UTC
-16.69345,38.52662,333.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,307.6,2.8,D,2019-10-01 10:30:00 UTC
-16.69951,38.43591,333.4,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,304.6,2.8,D,2019-10-01 10:30:00 UTC
-16.63085,38.50587,336.7,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,307.0,4.1,D,2019-10-01 10:30:00 UTC
-16.58204,38.49024,334.5,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.0,2.9,D,2019-10-01 10:30:00 UTC
-16.56097,38.47324,333.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,307.4,3.9,D,2019-10-01 10:30:00 UTC
-16.56263,38.45892,332.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,307.1,6.7,D,2019-10-01 10:30:00 UTC
-16.46695,38.44041,333.7,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,306.9,5.3,D,2019-10-01 10:30:00 UTC
-16.47029,38.4118,330.5,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,303.8,9.8,D,2019-10-01 10:30:00 UTC
-16.4635,38.43041,332.2,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,305.5,1.4,D,2019-10-01 10:30:00 UTC
-16.46646,38.44177,333.9,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,306.8,3.6,D,2019-10-01 10:30:00 UTC
-16.47059,38.40851,331.9,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,303.7,7.1,D,2019-10-01 10:30:00 UTC
-16.43986,38.3568,334.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,308.1,6.1,D,2019-10-01 10:30:00 UTC
-16.41808,38.4601,335.7,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.0,5.0,D,2019-10-01 10:30:00 UTC
-16.421,38.35931,335.0,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.1,11.6,D,2019-10-01 10:30:00 UTC
-16.34494,38.45551,333.3,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,305.1,2.7,D,2019-10-01 10:30:00 UTC
-16.34093,38.45033,335.0,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,306.0,2.7,D,2019-10-01 10:30:00 UTC
-16.28445,38.3733,333.4,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,304.1,2.2,D,2019-10-01 10:30:00 UTC
-16.23064,38.3587,334.7,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,308.7,4.6,D,2019-10-01 10:30:00 UTC
-16.21802,38.42421,334.5,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,307.7,6.2,D,2019-10-01 10:30:00 UTC
-16.19537,38.42105,335.9,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,310.2,4.9,D,2019-10-01 10:30:00 UTC
-16.19593,38.41641,337.0,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,310.4,4.9,D,2019-10-01 10:30:00 UTC
-16.1863,38.4199,335.2,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.7,9.2,D,2019-10-01 10:30:00 UTC
-16.03808,38.29963,334.6,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,305.5,2.4,D,2019-10-01 10:30:00 UTC
-15.94991,38.2986,335.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,307.1,5.8,D,2019-10-01 10:30:00 UTC
-15.68394,38.2343,336.0,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.2,2.9,D,2019-10-01 10:30:00 UTC
-15.5444,38.23852,339.2,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,310.3,9.6,D,2019-10-01 10:30:00 UTC
-15.53071,38.23711,336.9,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,310.0,7.1,D,2019-10-01 10:30:00 UTC
-15.44887,38.25654,338.0,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.6,6.4,D,2019-10-01 10:30:00 UTC
-15.92891,33.79951,331.1,0.5,0.65,2019-10-01,10:30:00,N,low,1.0NRT,302.0,4.4,D,2019-10-01 10:30:00 UTC
-15.33175,38.15302,336.8,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.4,5.0,D,2019-10-01 10:30:00 UTC
-15.32652,38.15445,336.1,0.5,0.49,2019-10-01,10:30:00,N,low,1.0NRT,309.2,5.0,D,2019-10-01 10:30:00 UTC
